id,name,date,value,fill,colour
West Ham,Lukasz Fabianski,2021/05/10,"1,150,355",#fbd14b,#3d3c3b
Tottenham,Toby Alderweireld,2021/04/27,"1,133,560",#fbd14b,#3d3c3b
Arsenal,Sokratis,2021/05/17,"1,114,785",#fbd14b,#3d3c3b
Manchester City,Eliaquim Mangala,2021/05/17,"1,109,165",#fbd14b,#3d3c3b
Manchester United,Aaron Wan-Bissaka,2021/05/11,"1,040,812",#fbd14b,#3d3c3b
AFC Bournemouth,Asmir Begovic,2021/05/17,"1,030,108",#fbd14b,#3d3c3b
Manchester United,Scott McTominay,2021/05/14,"1,028,799",#fbd14b,#3d3c3b
Southampton,Danny Ings,2021/05/11,"1,012,557",#fbd14b,#3d3c3b
Wolves,Patrick Cutrone,2021/05/12,"980,926",#fbd14b,#3d3c3b
Manchester United,Daniel James,2021/05/11,"967,447",#fbd14b,#3d3c3b
Chelsea,Jorginho,2021/04/28,"966,000",#fbd14b,#3d3c3b
Arsenal,Mattéo Guendouzi,2021/02/19,"965,613",#fbd14b,#3d3c3b
Chelsea,Callum Hudson-Odoi,2021/05/13,"940,400",#fbd14b,#3d3c3b
Southampton,Maya Yoshida,2021/05/12,"927,233",#fbd14b,#3d3c3b
Manchester City,Aymeric Laporte,2021/05/14,"903,618",#fbd14b,#3d3c3b
AFC Bournemouth,Jordon Ibe,2021/05/09,"896,347",#fbd14b,#3d3c3b
Wolves,Jesús Vallejo,2021/05/12,"868,741",#fbd14b,#3d3c3b
AFC Bournemouth,Dominic Solanke,2021/05/08,"843,900",#fbd14b,#3d3c3b
Manchester City,Phil Foden,2021/05/12,"819,756",#fbd14b,#3d3c3b
Leicester,Adrien Silva,2021/05/17,"807,064",#fbd14b,#3d3c3b
Brighton,Martín Montoya,2021/04/09,"806,700",#fbd14b,#3d3c3b
Everton,Jordan Pickford,2021/05/13,"806,509",#fbd14b,#3d3c3b
Tottenham,Victor Wanyama,2021/05/17,"806,100",#fbd14b,#3d3c3b
Southampton,Mario Lemina,2021/05/07,"786,795",#fbd14b,#3d3c3b
Chelsea,Kenedy,2021/05/15,"786,168",#fbd14b,#3d3c3b
Manchester City,Oleksandr Zinchenko,2021/05/14,"786,000",#fbd14b,#3d3c3b
Chelsea,Willy Caballero,2021/05/17,"783,500",#fbd14b,#3d3c3b
Watford,Nathaniel Chalobah,2021/05/12,"775,709",#fbd14b,#3d3c3b
Arsenal,Rob Holding,2021/05/12,"774,431",#fbd14b,#3d3c3b
Manchester City,John Stones,2021/05/11,"751,577",#fbd14b,#3d3c3b
Manchester United,Joel Pereira,2021/04/04,"742,463",#fbd14b,#3d3c3b
West Ham,Felipe Anderson,2021/05/14,"726,717",#fbd14b,#3d3c3b
Southampton,Ryan Bertrand,2021/05/12,"721,717",#fbd14b,#3d3c3b
Arsenal,Reiss Nelson,2021/05/12,"705,583",#fbd14b,#3d3c3b
Newcastle United,DeAndre Yedlin,2021/05/09,"695,485",#fbd14b,#3d3c3b
Leicester,Kelechi Iheanacho,2021/05/13,"690,800",#fbd14b,#3d3c3b
Southampton,Sofiane Boufal,2021/05/12,"682,300",#fbd14b,#3d3c3b
Leicester,Bartosz Kapustka,2021/05/10,"665,372",#fbd14b,#3d3c3b
Everton,Djibril Sidibé,2021/05/11,"662,473",#fbd14b,#3d3c3b
Watford,Roberto Pereyra,2021/05/03,"656,900",#fbd14b,#3d3c3b
Chelsea,Tammy Abraham,2021/05/16,"654,600",#fbd14b,#3d3c3b
Crystal Palace,Max Meyer,2021/05/17,"652,027",#fbd14b,#3d3c3b
Aston Villa,Jack Grealish,2021/05/06,"646,746",#fbd14b,#3d3c3b
